type	id	tree
run	SRR33502108	notree
run	SRR33502107	notree
run	SRR33502106	notree
run	SRR33502105	notree
run	SRR33502104	notree
run	SRR33502103	notree
run	SRR33502102	notree
run	SRR33502101	notree
run	SRR33502099	notree
run	SRR33502098	notree
run	SRR33502097	notree
run	SRR33502096	notree
run	SRR33502095	notree
run	SRR33502094	notree
run	SRR33502093	notree
run	SRR33502092	notree
run	SRR33502091	notree
run	SRR33502090	notree
run	SRR33502088	notree
run	SRR33502087	notree
run	SRR33502086	notree
run	SRR33502085	notree
run	SRR33502084	notree
run	SRR33502083	notree
run	SRR33502082	notree
run	SRR33502081	notree
run	SRR33502080	notree
run	SRR33502079	notree
run	SRR33502077	notree
run	SRR33502076	notree
run	SRR33502075	notree
run	SRR33502074	notree
run	SRR33502073	notree
run	SRR33502072	notree
run	SRR33502071	notree
run	SRR33502070	notree
run	SRR33502144	notree
run	SRR33502157	notree
run	SRR33502146	notree
run	SRR33502135	notree
run	SRR33502127	notree
run	SRR33502166	notree
run	SRR33502165	notree
run	SRR33502164	notree
run	SRR33502163	notree
run	SRR33502162	notree
run	SRR33502161	notree
run	SRR33502160	notree
run	SRR33502159	notree
run	SRR33502158	notree
run	SRR33502156	notree
run	SRR33502155	notree
run	SRR33502154	notree
run	SRR33502153	notree
run	SRR33502152	notree
run	SRR33502151	notree
run	SRR33502150	notree
run	SRR33502149	notree
run	SRR33502148	notree
run	SRR33502147	notree
run	SRR33502145	notree
run	SRR33502143	notree
run	SRR33502142	notree
run	SRR33502141	notree
run	SRR33502140	notree
run	SRR33502139	notree
run	SRR33502138	notree
run	SRR33502137	notree
run	SRR33502136	notree
run	SRR33502134	notree
run	SRR33502133	notree
run	SRR33502132	notree
run	SRR33502131	notree
run	SRR33502130	notree
run	SRR33502129	notree
run	SRR33502128	notree
run	SRR33502178	notree
run	SRR33502177	notree
run	SRR33502181	notree
run	SRR33502180	notree
run	SRR33502179	notree
run	SRR33502168	notree
run	SRR33502176	notree
run	SRR33502175	notree
run	SRR33502174	notree
run	SRR33502173	notree
run	SRR33502172	notree
run	SRR33502171	notree
run	SRR33502170	notree
run	SRR33502169	notree
run	SRR33502167	notree
